,awardYear,laureates,prizeAmount,prizeAmountAdjusted,category.en,category.no,category.se,categoryFullName.en,categoryFullName.no,categoryFullName.se,links.action,links.href,links.rel,links.types,dateAwarded,topMotivation.en,topMotivation.se
0,1901,"[{'id': '160', 'knownName': {'en': ""Jacobus H. van 't Hoff""}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/160', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions', 'se': 'såsom ett erkännande av den utomordentliga förtjänst han inlagt genom upptäckten av lagarna för den kemiska dynamiken och för det osmotiska trycket i lösningar'}, 'portion': '1', 'sortOrder': '1'}]",150782,8567159,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,Get,http://masterdataapi.nobelprize.org/2/nobelPrize/che/1901,nobelPrize,application/json,,,
1,1901,"[{'id': '569', 'knownName': {'en': 'Sully Prudhomme'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/569', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect', 'se': 'såsom ett erkännande av hans utmärkta, jämväl under senare år ådagalagda förtjänster som författare och särskilt av hans om hög idealitet, konstnärlig fulländning samt sällspord förening av hjärtats och snillets egenskaper vittnande diktning'}, 'portion': '1', 'sortOrder': '1'}]",150782,8567159,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,Get,http://masterdataapi.nobelprize.org/2/nobelPrize/lit/1901,nobelPrize,application/json,,,
2,1901,"[{'id': '462', 'knownName': {'en': 'Henry Dunant'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/462', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'for his humanitarian efforts to help wounded soldiers and create international understanding', 'no': 'for sin humanitære innsats for å hjelpe sårede soldater og skape internasjonal forståelse'}, 'portion': '1/2', 'sortOrder': '1'}, {'id': '463', 'knownName': {'en': 'Frédéric Passy'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/463', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'for his lifelong work for international peace conferences, diplomacy and arbitration', 'no': 'for sin  livslange innsats for internasjonale fredskonferanser, diplomati og voldgift'}, 'portion': '1/2', 'sortOrder': '2'}]",150782,8567159,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,Get,http://masterdataapi.nobelprize.org/2/nobelPrize/pea/1901,nobelPrize,application/json,1901-12-10,,
3,1901,"[{'id': '1', 'knownName': {'en': 'Wilhelm Conrad Röntgen'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/1', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him', 'se': 'såsom ett erkännande av den utomordentliga förtjänst han inlagt genom upptäckten av de egendomliga strålar, som sedermera uppkallats efter honom'}, 'portion': '1', 'sortOrder': '1'}]",150782,8567159,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,Get,http://masterdataapi.nobelprize.org/2/nobelPrize/phy/1901,nobelPrize,application/json,,,
4,1901,"[{'id': '293', 'knownName': {'en': 'Emil von Behring'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/293', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths', 'se': 'för hans arbete rörande serumterapien och särskilt dess användning mot difteri, varigenom han brutit en ny väg inom den medicinska vetenskapens område och givit läkaren ett segerrikt vapen i kampen mot sjukdom och död'}, 'portion': '1', 'sortOrder': '1'}]",150782,8567159,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,Get,http://masterdataapi.nobelprize.org/2/nobelPrize/med/1901,nobelPrize,application/json,,,
5,1902,"[{'id': '161', 'knownName': {'en': 'Emil Fischer'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/161', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses', 'se': 'såsom ett erkännande av den utomordentliga förtjänst han inlagt genom sina syntetiska arbeten inom socker - och purin-grupperna'}, 'portion': '1', 'sortOrder': '1'}]",141847,8059489,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,Get,http://masterdataapi.nobelprize.org/2/nobelPrize/che/1902,nobelPrize,application/json,,,
6,1902,"[{'id': '571', 'knownName': {'en': 'Theodor Mommsen'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/571', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>', 'se': 'nutidens störste levande mästare i den historiska framställningens konst, med särskilt fäst avseende å hans monumentala verk Römische Geschichte'}, 'portion': '1', 'sortOrder': '1'}]",141847,8059489,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,Get,http://masterdataapi.nobelprize.org/2/nobelPrize/lit/1902,nobelPrize,application/json,,,
7,1902,"[{'id': '464', 'knownName': {'en': 'Élie Ducommun'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/464', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'for his untiring and skilful directorship of the Bern Peace Bureau', 'no': 'for sin utrettelige og dyktige ledelse av Det internasjonale fredsbyrået i Bern'}, 'portion': '1/2', 'sortOrder': '1'}, {'id': '465', 'knownName': {'en': 'Albert Gobat'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/465', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'for his eminently practical administration of the Inter-Parliamentary Union', 'no': 'for sin fremragende praktiske administrering av Den interparlamentariske union'}, 'portion': '1/2', 'sortOrder': '2'}]",141847,8059489,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,Get,http://masterdataapi.nobelprize.org/2/nobelPrize/pea/1902,nobelPrize,application/json,1902-12-10,,
8,1902,"[{'id': '2', 'knownName': {'en': 'Hendrik A. Lorentz'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/2', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena', 'se': 'såsom ett erkännande av den utomordentliga förtjänst de inlagt genom sina undersökningar över magnetismens inflytande på strålningsfenomenen'}, 'portion': '1/2', 'sortOrder': '1'}, {'id': '3', 'knownName': {'en': 'Pieter Zeeman'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/3', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena', 'se': 'såsom ett erkännande av den utomordentliga förtjänst de inlagt genom sina undersökningar över magnetismens inflytande på strålningsfenomenen'}, 'portion': '1/2', 'sortOrder': '2'}]",141847,8059489,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,Get,http://masterdataapi.nobelprize.org/2/nobelPrize/phy/1902,nobelPrize,application/json,,,
9,1902,"[{'id': '294', 'knownName': {'en': 'Ronald Ross'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/294', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it', 'se': 'för hans arbete rörande malarian, varigenom han uppdagat det sätt, varpå densamma vinner insteg i organismen, och därmed lagt grunden för betydelsefulla forskningar angående denna sjukdom och dess bekämpande'}, 'portion': '1', 'sortOrder': '1'}]",141847,8059489,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,Get,http://masterdataapi.nobelprize.org/2/nobelPrize/med/1902,nobelPrize,application/json,,,
